t,mean,max
56800,0.516731,1
56850,0.50385,1
56900,0.501512,1
56950,0.502153,1
57000,0.499749,1
57050,0.488511,1
57100,0.484836,1
57150,0.489548,1
57200,0.492612,1
57250,0.486858,1
57300,0.486732,1
57350,0.48877,1
57400,0.495236,1
57450,0.489899,1
57500,0.487677,1
57550,0.492228,1
57600,0.49306,1
57650,0.492484,1
57700,0.492367,1
57750,0.498589,1
57800,0.501783,1
57850,0.493885,1
57900,0.48876,1
57950,0.489187,1
58000,0.494918,1
58050,0.49208,1
58100,0.490154,1
58150,0.495203,1
58200,0.500929,1
58250,0.496636,1
58300,0.485406,1
58350,0.487746,1
58400,0.492476,1
58450,0.493536,1
58500,0.4842,1
58550,0.483968,1
58600,0.493788,1
58650,0.497324,1
58700,0.484991,1
58750,0.480673,1
58800,0.487877,1
58850,0.492729,1
58900,0.496269,1
58950,0.493609,1
59000,0.49649,1
59050,0.50297,1
59100,0.504294,1
59150,0.493454,1
59200,0.492623,1
59250,0.492812,1
59300,0.488279,1
59350,0.481138,1
59400,0.489742,1
59450,0.496258,1
59500,0.490998,1
59550,0.480396,1
59600,0.477551,1
59650,0.478864,1
59700,0.474544,1
59750,0.476134,1
59800,0.480603,1
59850,0.488483,1
59900,0.491816,1
59950,0.489469,1
60000,0.486737,1
60050,0.498249,1
60100,0.509988,1
60150,0.517196,1
60200,0.511277,1
60250,0.51344,1
60300,0.524054,1
60350,0.521173,1
60400,0.524375,1
60450,0.534031,1
60500,0.536147,1
60550,0.533002,1
60600,0.533537,1
60650,0.534342,1
60700,0.547782,1
60750,0.553729,1
60800,0.559199,1
60850,0.556777,1
60900,0.557431,1
60950,0.557899,1
61000,0.555805,1
61050,0.557036,1
61100,0.565155,1
61150,0.563917,1
61200,0.558474,1
61250,0.561668,1
61300,0.566198,1
61350,0.572954,1
61400,0.579613,1
61450,0.582949,1
61500,0.584206,1
61550,0.586764,1
61600,0.59948,1
61650,0.594299,1
61700,0.586007,1
61750,0.588808,1
61800,0.58001,1
61850,0.572509,1
61900,0.573955,1
61950,0.5731,1
62000,0.573882,1
62050,0.570578,1
62100,0.569494,1
62150,0.5761,1
62200,0.574049,1
62250,0.574944,1
62300,0.571965,1
62350,0.566836,1
62400,0.567294,1
62450,0.564929,1
62500,0.559054,1
62550,0.559242,1
62600,0.557545,1
62650,0.549279,1
62700,0.543266,1
62750,0.544616,1
62800,0.542866,1
62850,0.536561,1
62900,0.53578,1
62950,0.540341,1
63000,0.545391,1
63050,0.545141,1
63100,0.54727,1
63150,0.545603,1
63200,0.54699,1
63250,0.559821,1
63300,0.566555,1
63350,0.572622,1
63400,0.575676,1
63450,0.58166,1
63500,0.593388,1
63550,0.601265,1
63600,0.59457,1
63650,0.586443,1
63700,0.585692,1
63750,0.579011,1
63800,0.567999,1
63850,0.569136,1
63900,0.577269,1
63950,0.583691,1
64000,0.577823,1
64050,0.579133,1
64100,0.58538,1
64150,0.58266,1
64200,0.571612,1
64250,0.569675,1
64300,0.570701,1
64350,0.566928,1
64400,0.559418,1
64450,0.559889,1
64500,0.572619,1
64550,0.567561,1
64600,0.566405,1
64650,0.571646,1
64700,0.577446,1
64750,0.583184,1
64800,0.574466,1
64850,0.570158,1
64900,0.576041,1
64950,0.575456,1
65000,0.564994,1
65050,0.560452,1
65100,0.565421,1
65150,0.57109,1
65200,0.568964,1
65250,0.568474,1
65300,0.570578,1
65350,0.572665,1
65400,0.565864,1
65450,0.561233,1
65500,0.569808,1
65550,0.571663,1
65600,0.569486,1
65650,0.570641,1
65700,0.571263,1
65750,0.573961,1
65800,0.571791,1
65850,0.568489,1
65900,0.576365,1
65950,0.585257,1
66000,0.583885,1
66050,0.571403,1
66100,0.574173,1
66150,0.58152,1
66200,0.580158,1
66250,0.578331,1
66300,0.572383,1
66350,0.575587,1
66400,0.577164,1
66450,0.575944,1
66500,0.574805,1
66550,0.575201,1
66600,0.575736,1
66650,0.567983,1
66700,0.561806,1
66750,0.567143,1
66800,0.572755,1
66850,0.576237,1
66900,0.575278,1
66950,0.574439,1
67000,0.576679,1
67050,0.57745,1
67100,0.575694,1
67150,0.57181,1
67200,0.57362,1
67250,0.57908,1
67300,0.569329,1
67350,0.569261,1
67400,0.571471,1
67450,0.576259,1
67500,0.568795,1
67550,0.56044,1
67600,0.567431,1
67650,0.571553,1
67700,0.575543,1
67750,0.571116,1
67800,0.581469,1
67850,0.586024,1
67900,0.583789,1
67950,0.58764,1
68000,0.598877,1
68050,0.604406,1
68100,0.602037,1
68150,0.603143,1
68200,0.598682,1
68250,0.589342,1
68300,0.589699,1
68350,0.595943,1
68400,0.587999,1
68450,0.591422,1
68500,0.589456,1
68550,0.579881,1
68600,0.578564,1
68650,0.576509,1
68700,0.571064,1
68750,0.574732,1
68800,0.581812,1
68850,0.577353,1
68900,0.575007,1
68950,0.581525,1
69000,0.583829,1
69050,0.579678,1
69100,0.583863,1
69150,0.586114,1
69200,0.579643,1
69250,0.586101,1
69300,0.592001,1
69350,0.586595,1
69400,0.587022,1
69450,0.596103,1
69500,0.588949,1
69550,0.584214,1
69600,0.583305,1
69650,0.581032,1
69700,0.573355,1
69750,0.573564,1
69800,0.583084,1
69850,0.580919,1
69900,0.573125,1
